International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=00000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=40-A&vs=INTL.4008-8-AFG-MMTCD.A&ord=CR&vo=0&v=H&end=2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Apr 22 2019 19:31:02 GMT-0400 (EDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Emissions,MMTons CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,1.3259645184445,1.5096277354718,1.6596046796848,2.0596046796848,2.0654361143814,2.0935159167121,2.311010238436,3.9560247490289,6.4691701670919,6.3851374526029,6.2676555180558,2.9691008431237,1.7260114453194,1.6021346697779,1.5999408817273,1.3019044052617,1.3570362126052,1.2550924010396,1.2550924010396,1.2531485894741,1.1531485894741,0.8486271664378,0.83890809097605,0.70726869104325,0.7053248794777,0.80338105027816,0.70726869104325,1.2508171885087,1.4725914372414,6.2307597790056,7.7876364963828,11.015396519173,9.6647099965672,7.8355604167619,7.0965583515981,7.7328606430558,8.5414879146609
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,9.6886787065973,9.5987532500495,9.677464452047,10.068964251123,10.218766820775,10.18531286195,10.250910642016,9.9316212568438,10.052810127373,9.4082821749166,6.9010365245284,4.8043290828685,3.9304062317141,2.9114857156373,2.3443083665783,2.4680943058069,2.0220976857466,1.9614634315717,2.3333005904125,2.9277931270344,3.2671239594456,3.5828496496587,3.7528768264398,4.2520086934535,4.3483199136031,4.6397916350826,4.630542933782,4.5735799070505,4.5628257892842,3.0869022306268,4.0043178135619,4.0952260783593,3.6512595532475,4.2413379000591,4.4749986653402,4.1004750296263,4.2211551749104
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,65.624803187103,53.28524226698,68.559023183442,72.483302519971,74.64125818051,71.432050157453,73.603106009166,78.67576956911,82.611533971512,80.126385783048,83.280159968934,86.023631092986,82.913016758419,82.148930778453,84.701473708065,87.419934017184,84.12343845984,80.825922894988,84.519445900319,84.096338257259,83.006433680426,79.020449734208,81.697638752665,81.129707607953,79.284579891156,89.660915901431,93.875051095525,96.343115859685,102.3251380623,109.75120350683,112.68457628266,121.45248487459,129.6666280276,128.76690233987,142.72216707478,144.82849037714,138.72324702637
,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.40232,0.5,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.6,0.35609118618656,0.35678335824806,0.35560055970028,0.35524591528564,0.35524591528564,0.36066184441354
,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,6.225568096,6.12099778,5.772157256,5.825507456,5.480157732,6.435708062,7.103659128,7.163209696,8.044461552,7.362309642,7.1750531565041,7.433860924,7.5468305971715,7.6836834747636,7.34121188004,12.107223752397,12.198502392234,12.981964226182,12.338245720089,13.526698991826,13.064267440967,14.985797044809,15.680814416043,18.9250192066,19.858367221638,20.308338680937,21.267191478056,24.117848662833,23.431797907628,24.92774911718,30.259832905316,30.847924306109,32.884135700755,34.226255233299,35.761020678068,36.182259864299,21.417035574283
,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.14064,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.014352206623295,0.014382064471704,0.014342609920296,0.014342885241616,0.014342885241616,0.015266697341202
,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,0.40738,0.4,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.69007609435107,0.70721706939374,0.70586344314181,0.71931741281546,0.73537779937445,0.74125542430708
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,93.306519966768,90.995689606412,97.660718035282,99.390069659332,103.82511722886,98.197138803692,104.90318416515,110.49219191204,112.48426198972,112.90391546554,104.1435804865,108.81701499834,109.66809040651,120.19434702399,116.64207468981,119.44121175755,129.64425266263,129.46882950623,136.16059380487,141.27869745782,139.10854330374,128.61149840519,120.85355034747,135.08126803188,142.14284827685,153.48278485097,157.57508868524,168.49656510841,170.6806630235,169.43947328024,188.27340075526,192.5301332484,197.29631771682,198.93830972065,199.32071845982,200.1618076836,194.09993798561
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,--,--,--,--,--,--,--,--,--,--,--,--,11.037873823969,6.8278021863158,6.0123809846091,7.0806114384515,8.0643818360666,7.4743647976166,7.8615703525267,7.7408088615241,8.3710776197735,8.5503201244262,8.2420076613563,8.7951226912364,9.0123926230463,10.236414290859,10.237285390298,11.235050375583,11.091337126139,10.041461624297,4.7751664018887,5.2898557499611,6.0796701279146,5.8586118003186,6.031251021399,5.0531348280891,5.2198015042208
,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,--,--,--,--,--,--,0.1,0.1,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.6,0.9,0.9,0.9,1,1,1,1,1,1,1.1,1,1.1,1,1.1,0.99109171544621,1.2590224873924,1.1979820099078,1.2134085156555,1.2435150509026,1.2640837555465
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,202.33721063492,212.63010816332,225.52279805704,221.89449230373,222.79917088306,229.51424463382,240.72577305607,256.81446043656,245.16295193425,274.26916083294,282.81230527269,276.36226926138,280.84918930771,283.41149381963,286.81661486242,302.11103621908,310.53008612176,314.41008216081,335.42382274575,339.43488333407,341.90499877627,358.53649962678,361.94997436028,354.59642292443,363.99879305762,373.71835496361,383.32593894838,397.36028853291,390.64630247812,401.32829908189,395.49861692389,402.94653700418,399.11880504086,395.60122392171,394.76615007271,403.48093571301,411.72920883283
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2 Emissions,MMTons CO2,57.616084827399,56.082045155081,52.773280097043,52.561227884233,56.470888843392,57.265507345089,54.685552167351,55.571058719071,53.496542386607,54.258466713372,58.916774037446,62.687435728396,58.175192377033,58.141077023408,57.810410688484,60.018153825279,66.155878080357,64.861991908269,67.068797214299,66.259444136664,64.799105936399,70.228625563504,70.84937376759,77.013278839694,77.950062120343,80.626734348753,76.193552988282,73.056506947887,72.332135802592,66.803249568874,72.177349319036,70.524448689677,68.270960471296,68.687339710356,65.653412795487,67.58833383927,68.101232580895
,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
