International_data,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000001&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=4702-A&vs=INTL.4702-33-AFG-THP.A&cy=2016&vo=0&v=H&start=2015&end=2016,,,,
Tue Apr 30 2019 16:04:32 GMT-0400 (EDT),,,,
Source: U.S. Energy Information Administration,,,,
,,,2015,2016
,Population,1000 Person,,
,Population,,,
,Afghanistan,1000 Person,33736.5,34600.2
,Albania,1000 Person,2923.4,2927.09
,Algeria,1000 Person,39871.5,40563.9
,American Samoa,1000 Person,NA,NA
,Angola,1000 Person,27859.3,28852.9
,Antarctica,1000 Person,NA,NA
,Antigua and Barbuda,1000 Person,99.9,100.96
,Argentina,1000 Person,43471.3,43897.88
,Armenia,1000 Person,2917,2921.3
,Aruba,1000 Person,104.3,104.76
,Australia,1000 Person,23862.6,24245.95
,Austria,1000 Person,8657.1,8745.72
,Azerbaijan,1000 Person,9617.5,9713.94
,"Bahamas, The",1000 Person,386.8,390.838
,Bahrain,1000 Person,1329.1,1348.41
,Bangladesh,1000 Person,161201,162916
,Barbados,1000 Person,284.2,284.887
,Belarus,1000 Person,9485.8,9471.7
,Belgium,1000 Person,11283.4,11336.5
,Belize,1000 Person,359.3,367.032
,Benin,1000 Person,10576,10885.4
,Bermuda,1000 Person,62,61.7302
,Bhutan,1000 Person,787.4,796.958
,Bolivia,1000 Person,10724.7,10888.6
,Bosnia and Herzegovina,1000 Person,3536,3528.41
,Botswana,1000 Person,2209.2,2250.51
,Brazil,1000 Person,206173.8,207851.5
,Brunei,1000 Person,417.5,422.937
,Bulgaria,1000 Person,7171.9,7121.33
,Burkina Faso,1000 Person,18110.6,18669.2
,Burma (Myanmar),1000 Person,52403.7,52884.6
,Burundi,1000 Person,10199.3,10547.3
,Cambodia,1000 Person,15517.6,15757.2
,Cameroon,1000 Person,22834.5,23459.2
,Canada,1000 Person,35678.1,36051.75
,Cape Verde,1000 Person,532.9,539.8
,Cayman Islands,1000 Person,60,60.7484
,Central African Republic,1000 Person,4546.1,4621.06
,Chad,1000 Person,14009.4,14464.5
,Chile,1000 Person,17781.2,17928.05
,China,1000 Person,1397830,1404132
,Colombia,1000 Person,48228.7,48627
,Comoros,1000 Person,777.4,795.859
,Congo (Brazzaville),1000 Person,4995.7,5133.9
,Congo (Kinshasa),1000 Person,76196.6,78858.3
,Cook Islands,1000 Person,NA,NA
,Costa Rica,1000 Person,4807.9,4855.12
,Cote dIvoire (IvoryCoast),1000 Person,23108.5,23721.1
,Croatia,1000 Person,4203.7,4167.885
,Cuba,1000 Person,11461.4,11468.2
,Cyprus,1000 Person,848.3,854.802
,Czech Republic,1000 Person,10548,10569.45
,Denmark,1000 Person,5689.4,5733.2
,Djibouti,1000 Person,927.4,941.911
,Dominica,1000 Person,73.2,73.543
,Dominican Republic,1000 Person,10528.4,10644.4
,Ecuador,1000 Person,16144.4,16382.6
,Egypt,1000 Person,93778.2,95610.8
,El Salvador,1000 Person,6312.5,6345.79
,Equatorial Guinea,1000 Person,1175.4,1221.57
,Eritrea,1000 Person,4847,4964.02
,Estonia,1000 Person,1315.9,1315.64
,Ethiopia,1000 Person,99873,102450
,Falkland Islands (Islas Malvinas),1000 Person,NA,NA
,Faroe Islands,1000 Person,NA,NA
,Fiji,1000 Person,892.1,898.702
,Finland,1000 Person,5481.5,5497.303
,Former Czechoslovakia,1000 Person,--,--
,Former Serbia and Montenegro,1000 Person,--,--
,Former U.S.S.R.,1000 Person,--,--
,Former Yugoslavia,1000 Person,--,--
,France,1000 Person,66627.7,66892.1
,French Guiana,1000 Person,NA,NA
,French Polynesia,1000 Person,NA,NA
,Gabon,1000 Person,1930.2,1974.4
,"Gambia, The",1000 Person,1977.6,2040.77
,Georgia,1000 Person,3951.5,3940.93
,Germany,1000 Person,81808.9,82391.95
,"Germany, East",1000 Person,--,--
,"Germany, West",1000 Person,--,--
,Ghana,1000 Person,27582.8,28213
,Gibraltar,1000 Person,NA,NA
,Greece,1000 Person,10811.6,10774.05
,Greenland,1000 Person,56.4,56.456
,Grenada,1000 Person,106.8,107.32
,Guadeloupe,1000 Person,450.4,450.02
,Guam,1000 Person,NA,NA
,Guatemala,1000 Person,16252.4,16584.1
,Guinea,1000 Person,12091.5,12423.4
,Guinea-Bissau,1000 Person,1770.5,1816.56
,Guyana,1000 Person,768.5,772.968
,Haiti,1000 Person,10711.1,10843.1
,Hawaiian Trade Zone,1000 Person,--,--
,Honduras,1000 Person,8960.8,9112.52
,Hong Kong,1000 Person,7252.7,7309.973
,Hungary,1000 Person,9839.9,9809.904
,Iceland,1000 Person,330.2,332.84
,India,1000 Person,1310955,1326108
,Indonesia,1000 Person,258530.7,261461
,Iran,1000 Person,79360.5,80205.8
,Iraq,1000 Person,36115.6,37202.6
,Ireland,1000 Person,4708,4762.595
,Israel,1000 Person,8064.6,8194.35
,Italy,1000 Person,60714.4,60617.98
,Jamaica,1000 Person,2871.9,2880.18
,Japan,1000 Person,127947.8,127716
,Jordan,1000 Person,9159.3,9369.17
,Kazakhstan,1000 Person,17749.7,17955.2
,Kenya,1000 Person,47236.3,48487.4
,Kiribati,1000 Person,112.4,114.413
,"Korea, North",1000 Person,25243.9,25363.3
,"Korea, South",1000 Person,50618.1,50811.77
,Kosovo,1000 Person,1971.7,1999.79
,Kuwait,1000 Person,3935.8,4009.21
,Kyrgyzstan,1000 Person,5865.4,5952.67
,Laos,1000 Person,6664,6764.14
,Latvia,1000 Person,1969,1950.12
,Lebanon,1000 Person,5851.5,5885.14
,Lesotho,1000 Person,2174.7,2204.16
,Liberia,1000 Person,4499.6,4620.47
,Libya,1000 Person,6235,6320.4
,Lithuania,1000 Person,2888.6,2847.9
,Luxembourg,1000 Person,571.3,580.21
,Macau,1000 Person,600.9,611.129
,Macedonia,1000 Person,2079.3,2081.05
,Madagascar,1000 Person,24234.1,24925.4
,Malawi,1000 Person,17573.6,18115.6
,Malaysia,1000 Person,30781.1,31237.9
,Maldives,1000 Person,358,364
,Mali,1000 Person,17467.9,18031.2
,Malta,1000 Person,450.4,460.297
,Martinique,1000 Person,385.8,385.765
,Mauritania,1000 Person,4182.3,4302.63
,Mauritius,1000 Person,1259.5,1262.39
,Mexico,1000 Person,126097.2,127740
,Moldova,1000 Person,3555.2,3553.1
,Mongolia,1000 Person,2976.9,3023.38
,Montenegro,1000 Person,628.2,628.422
,Montserrat,1000 Person,NA,NA
,Morocco,1000 Person,34803.3,35256.8
,Mozambique,1000 Person,28010.7,28870.4
,Namibia,1000 Person,2425.6,2479.76
,Nauru,1000 Person,NA,NA
,Nepal,1000 Person,28656.3,28977.1
,Netherlands,1000 Person,16949.7,17043.1
,Netherlands Antilles,1000 Person,208,208.8
,New Caledonia,1000 Person,NA,NA
,New Zealand,1000 Person,4566,4659.575
,Nicaragua,1000 Person,6082,6148.94
,Niger,1000 Person,19897,20732.5
,Nigeria,1000 Person,181182,186176
,Niue,1000 Person,NA,NA
,Northern Mariana Islands,1000 Person,NA,NA
,Norway,1000 Person,5194.1,5240.47
,Oman,1000 Person,4199.8,4389.79
,Pakistan,1000 Person,189380,193177
,Palestinian Territories,1000 Person,4662.9,4794.83
,Panama,1000 Person,3969.3,4033.26
,Papua New Guinea,1000 Person,7919.8,8087
,Paraguay,1000 Person,6639.1,6724.56
,Peru,1000 Person,31376.7,31763.8
,Philippines,1000 Person,101916.5,103514.5
,Poland,1000 Person,37981.6,37970.8
,Portugal,1000 Person,10353.9,10321.5
,Puerto Rico,1000 Person,3673.7,3669.1
,Qatar,1000 Person,2481.5,2543.59
,Reunion,1000 Person,863.4,869.998
,Romania,1000 Person,19801.7,19687.8
,Russia,1000 Person,143895.2,143942
,Rwanda,1000 Person,11629.5,11921.1
,Saint Helena,1000 Person,NA,NA
,Saint Kitts and Nevis,1000 Person,54.3,54.793
,Saint Lucia,1000 Person,177.2,178.005
,Saint Pierre and Miquelon,1000 Person,NA,NA
,Saint Vincent/Grenadines,1000 Person,109.5,109.715
,Samoa,1000 Person,193.8,195.031
,Sao Tome and Principe,1000 Person,195.6,200.045
,Saudi Arabia,1000 Person,31557.1,32187.6
,Senegal,1000 Person,14977,15421.6
,Serbia,1000 Person,7095.4,7058.32
,Seychelles,1000 Person,93.7,94.216
,Sierra Leone,1000 Person,7237,7399.01
,Singapore,1000 Person,5535,5607.282
,Slovakia,1000 Person,5424.4,5431.933
,Slovenia,1000 Person,2064.2,2065.9
,Solomon Islands,1000 Person,587.5,599.445
,Somalia,1000 Person,13908.1,14347.5
,South Africa,1000 Person,55380.1,56088.65
,South Sudan,1000 Person,NA,NA
,Spain,1000 Person,46443.7,46495.05
,Sri Lanka,1000 Person,20714,20788
,Sudan,1000 Person,38647.8,39626.5
,Suriname,1000 Person,553.2,558.117
,Swaziland,1000 Person,1319,1343.07
,Sweden,1000 Person,9812.1,9941.1
,Switzerland,1000 Person,8327.1,8419.55
,Syria,1000 Person,18735,18772.9
,Taiwan,1000 Person,23470.3,23522
,Tajikistan,1000 Person,8548.7,8733.97
,Tanzania,1000 Person,53880,55658.9
,Thailand,1000 Person,68683.6,68882.5
,Timor-Leste (East Timor),1000 Person,1241,1269.06
,Togo,1000 Person,7416.8,7610.3
,Tonga,1000 Person,106.4,107.299
,Trinidad and Tobago,1000 Person,1360.1,1363.62
,Tunisia,1000 Person,11273.7,11399.6
,Turkey,1000 Person,78420,79615.1
,Turkmenistan,1000 Person,5565.3,5658.47
,Turks and Caicos Islands,1000 Person,NA,NA
,U.S. Pacific Islands,1000 Person,NA,NA
,U.S. Territories,1000 Person,NA,NA
,Uganda,1000 Person,40144.9,41553.4
,Ukraine,1000 Person,42900,42800
,United Arab Emirates,1000 Person,9154.3,9286.08
,United Kingdom,1000 Person,65178.8,65687.88
,United States,1000 Person,320896.8,323128.2
,Uruguay,1000 Person,3431.6,3444.12
,Uzbekistan,1000 Person,30976,31428
,Vanuatu,1000 Person,264.6,270.469
,Venezuela,1000 Person,31155.2,31568.17
,Vietnam,1000 Person,93571.6,94529.3
,"Virgin Islands,  U.S.",1000 Person,97.9,97.373
,"Virgin Islands, British",1000 Person,30.1,30.1796
,Wake Island,1000 Person,NA,NA
,Western Sahara,1000 Person,NA,NA
,Yemen,1000 Person,26916.2,27582
,Zambia,1000 Person,16100.6,16616.3
,Zimbabwe,1000 Person,15777.5,16158
